raw data (protected),raw data (protected),raw data (protected),,manual entry,vlookup,vlookup
ResponseId,Q66,Q78,,Verified CEEB,INSTITUTION NAME,STATE
"{""ImportId"":""_recordId""}","{""ImportId"":""QID90_TEXT""}","{""ImportId"":""QID195_TEXT""}",,,,
R_3MFlh7Puc3n7Nku,Asnuntuck,3656,,,,
R_2v9aOwWT3DtXCTL,Texas Woman’s university,6826,,,,
R_1odRnOXppjedtl6,,,,,,
R_XSsPyzV9lYGMqDD,,,,,,
R_1IM0Uczmnbaf0r4,None,,,,,
R_sKW4KCNWr4S7JKx,Florida Gulf Coast University,5221,,,,
R_1ovz1B5RWZhosuK,University of Texas at Austin,6882,,,,
R_bsdkoDNPSTSTJst,University of Northern Colorado,4074,,,,
R_3qUpTIiz0FKnXYO,Twu,6826,,,,
R_z7440DYROTgXiEx,Southeastern Tech,,,,,
R_2tJcXS87IRBTIYQ,None at this time,111,,,,
R_C4wb91dov4U1fe9,Texas Woman’s University,6926,,,,
R_1nU9qT4HoRGmKox,Mt. San Antonio College,,,,,
R_3sohdOFLxWNM0Ob,Regis College,,,,,
R_6gNb9qPZIWOBjsl,Texas Women's university,6826,,,,
R_3KW8o34xsHQ0TgY,Mount San Antonio College,4494,,,,
R_yJVI7YeKOVnJqeJ,Kent State - main campus,1367,,,,
R_w1y0QALOqlBjAxX,University of Pittsburgh,2927,,,,
R_28SVGjkmvriaf0C,,,,,,
R_2zFM1Z1OpWRGkTF,Cerritos College,4083,,,,
R_2fuO3TR5idgfqeU,Rochester Institute of Technology,,,,,
R_1CBoo8kGxJGyojt,,,,,,
R_1GPw6bAOh9ZCpju,Lone Star College - Kingwood (in Texas),6508,,,,
R_3JJjdgKTnGK5Doj,Point Park University,2676,,,,
R_6m9rfZHtLu4Xa5r,Liberty University,,,,,
R_3EtghX6e92f5J6C,Texas Woman’s University,6826,,,,
R_2b3gz14P5skpeTu,Valdosta State University,5855,,,,
R_1LqiWDQbKagMUKA,York University,894,,,,
R_1IQxrtf1lRFjwvc,Florida State College at Jacksonville,5232,,,,
R_AhxFyYNxo6Jfx3b,Valdosta State University,5855,,,,
R_1KetAGc8Cz9LcNX,Texas Woman's University,6826,,,,
R_xy075S0gLpORIeR,Georgia state/perimeter college: dunwoody campus,5711,,,,
R_ThMBdHRj2Sn276N,N/A,4334,,,,
R_3s1xw63kX1436Xl,Liberty University at Lynchburg,5385,,,,
R_3jU4okPIJ6Gn288,Lonestar college,6508,,,,
R_2S0rY4FYBHJWw2N,Ozark technical community college,2583,,,,
R_2bJnArsDjpVfPYe,Grossmont college,4334,,,,
R_2wvsFu8bCvcTNjk,RTC Renton Technical College,790,,,,
R_3fDDu7lgMXSNsec,"University of MInnesota, Twin Cities",6874,,,,
R_vOlxZjzI5ueO8uJ,University,2812,,,,
R_2ZNXKJHxXrkGxVK,Sacramento State,4671,,,,
R_2dsTmr4MjrIDZ1c,california state university northridge,4707,,,,
R_1nWaG3iKjF5QuH5,California State University Northridge,4707,,,,
R_1hR5Zt2t5FvWwef,Georgia State University,5251,,,,
R_2wFyZSHlHfTyWWn,Liberty University,,,,,
R_Xk0PJihix4gmsZr,"Western Oregon University in Monmouth, OR",,,,,
R_vOI6KhzxuxnPndD,Western Oregon Universtiy,4585,,,,
R_XnOmAOPSp1neS5P,Cornell University - PhD,2098,,,,
R_AB6EV4mAUf64dnX,Ohio State University,1592,,,,
R_2S2I1MKUUxOsRNP,University of arizona,,,,,
R_2zf4x6ghfmDYtuJ,Utah State University,4857,,,,
R_3nTUslIvQAPHo9j,Ohio State University,1592,,,,
R_3CJyAPiQqFAwYHZ,Utah State University,4857,,,,
R_C9B47bJhC6UPgsN,UTAH State,,,,,
R_3hFNuXvVcMqhzyO,University of Arizona,4832,,,,
R_2uQFm8CJ86kCrcM,Naropa University,908,,,,
R_YSsHJkFipDzNf0t,Chico State University,,,,,
R_3rId8qUauqOn2HW,University of Texas at Austin,,,,,
R_3qpLLRBwvoMXHi9,Recently graduated from Bunker Hill Community College and transferred to Merrimack College,,,,,
R_12tYKox7exZ9fZb,,,,,,
R_cI7UD0nKeXlhHAl,Jacksonville State University in Alabama,1020,,,,
R_32PeCtoiQhSygbp,"College of the North Atlantic, Ridge Road",,,,,
R_1CIMf232vhrm0YY,University of California San Diego,4849,,,,
R_0Nx0lUzf9o5OCyd,Cerritos College,4083,,,,
R_31YHUAWG5zmiGIG,North Carolina State University,5496,,,,
R_1Is0QbYBnHqDwBP,North Carolina state university,,,,,
R_1prJULjNpHTFNra,North Carolina State University,5496,,,,
R_12gvm65tNsUSQqv,Arizona State University,4007,,,,
R_3iUMrbAefWptvQE,Arizona State University,4007,,,,
R_1EZmiTMpGK6r0Ql,Arizona state university,4007,,,,
R_245JuvIeYZOsyTA,North Carolina State University,5496,,,,
R_2DZbE0sQMrF9kIO,Arizona State University,4007,,,,
R_3fCAFVQGKiW5Qot,Arizona State University,1081,,,,
R_2P5Q77nqa3s8Wad,None,,,,,
R_1IQaADy2TpQbYAA,Arizona State University,4007,,,,
R_RaI1KzkXfOf9c2d,Arizona State University,4007,,,,
R_1qa31cMotcXeDWz,,,,,,
R_6L4HpVnbUtoAbcd,California State University- Long Beach,3594,,,,
R_2uKvqgeu4EeSe04,North Carolina State University,5496,,,,
R_xxUVdeGUmgR3V3b,Gallaudet University,5240,,,,
R_3DjA9PeOz3fKV5f,Texas Tech University Health Science Center,3423,,,,
R_210c2Puse58mE9E,National Technical Institute for the Deaf at RIT,2760,,,,
R_PCb3kbtfv32qjAJ,"USAO in Chickasha, Oklahoma",6544,,,,
R_27qD3pB8YS4ni7T,University of Utah,4853,,,,
R_2rCrMDzKJ0jhwos,University of South Carolina - School of Medicine,,,,,
R_1gpAYZuGVMQ2Xd3,Spartanburg Community College,5668,,,,
R_2WUVbsVFnBsRjg4,Flagler College,5235,,,,
R_U9IAsdYirDqrBBL,,,,,,
R_UEhobRf5xONMIvv,Grand Valley State University,1258,,,,
R_29mfDzR0NzJytqp,,,,,,
R_8CHi1v8YcniBTyN,,,,,,
R_2cAgqYVtcIAQpBA,,,,,,
R_3M3uAbaGbPn0NxF,,,,,,
R_2pVpFFCj1kJUUWs,,,,,,
R_DOWaapEeomzFekF,,,,,,
R_2CKFjL5BaXGUwuR,,,,,,
R_3HCggyBcoN1PwaZ,,,,,,
R_32LypGQ1mt6HD8G,Inspector training,,,,,
R_bjVtyoNrmUpm9CF,Moorpark College,,,,,
R_1hECe0h5VXeYVc2,,,,,,
R_r1M9sqTtxG4Jmnv,The Art Institute of Atlanta,,,,,
R_25ZQxrSS5OFNyJb,,,,,,
R_3ksMkAeIeeYS6zn,,,,,,
R_2v5Fs3TnoJHwgh7,El Camino interpreting training program,,,,,
R_129Ates53xrY5i0,,,,,,
R_3EaqpORSx2YAlPH,,,,,,
R_2q4PNGYFac1r8NC,,,,,,
R_1hLvHMDO072zBke,,,,,,
R_4VgbxXAciXmzDTb,,,,,,
R_pxtD2kJKLyZwBDb,,,,,,
R_W7LcTemGdJBvNjb,,,,,,
R_DT3Bwk39tkyUx9f,,,,,,
R_1CDgWq3IDJG4FWg,,,,,,
R_28zVpTmlT79GQPP,,,,,,
R_3F4EsQNv3IbaPzr,,,,,,
R_x3OEL1vfILSQTh7,University of northern Colorado,4074,,,,
R_24ATKc3q8VtmgcE,,,,,,
R_2rjcWebPu3f5iZM,University of Rochester,2928,,,,
R_2wzOiCDZzyJB1J4,Prescott College (online),484,,,,
R_XoDZYwSdW0aFyXT,,,,,,
R_2Cer2LcfeViq6yL,College of Central Florida,5127,,,,
R_1PRCmDIvTWxms5w,,,,,,
R_1dst0PB48z6Sg1D,,,,,,
R_3hoxrctgGuTAayG,Brigham Young University Idaho,4657,,,,
R_ZvEmNCEMccdoqTn,,,,,,
R_AoCHZkgjQ08Y7FT,,,,,,
R_3j6bkETvkzkTsx8,Cerritos College,,,,,
R_QhJsrEKufxe8USJ,,,,,,
R_2CIiumq0xcS43rx,University of Texas at Austin,6882,,,,
R_1QoWeQERykQcgZr,,,,,,
R_WwlkL4698cUged3,,,,,,
R_1liqKYZfvG39jTs,,,,,,
R_NXR5nrgfDAUlTot,,,,,,
R_3O8oqErOjkjrJSc,Cardinal Stritch University,1100,,,,
R_3PLTk6MVsPmohUL,,,,,,
R_1IrSiSCwHakKdrw,,,,,,
R_3elPTFNgJ6nJ8k5,,,,,,
R_zUbqfuepy4I9lNT,5,,,,,
R_8i6W0mgBqA8NF5f,,,,,,
R_2coS6crX09wV3DN,,,,,,
R_qEYlEywGUs5tKfv,,,,,,
R_7OInbxcEwelX7iN,,,,,,
R_1gvATTUheTc8ZA8,,,,,,
R_1IAfBhm14zI0Sty,,,,,,
R_2YDlV5FMerDL3BW,Arizona State University,,,,,
R_ym6IFPyXvvvUKBz,,,,,,
R_2D1PEc7ek7ZYnJX,Arizona State University,,,,,
R_3CV4SeX3ZaUnEYt,Capella University,3829,,,,
R_3fBimrD5bFjNX1f,,,,,,
R_r3EpMeOuFbhjV4J,,,,,,
R_3fqkXlo2UuolIiU,,,,,,
R_2TtSkF51BPDxtpH,Rutgers School of Social Work,2629,,,,
R_es5fimlUAaqpiuZ,,,,,,
R_2uIdYiOWtmcNdwA,,,,,,
R_cGUSQdt62Bs37Il,,,,,,
R_2qaPv7ZbE2QL42Y,,,,,,
R_a9vlQ6MP2oGlEjL,,,,,,
R_1hEggXPaJUrWL5g,,,,,,
R_3RqKqGiOeExbZlP,Texas Tech University,,,,,
R_2aqJMhFpPjwLPdr,,,,,,
R_3g6FKlxdyV7k9C1,Northern Illinois University,1737,,,,
R_yJATF6pGN4hv71L,,,,,,
R_cD3HdZqPpBLw9ln,,,,,,
R_1dN6dpzAjOr3RCD,UNC at charlotte,5208,,,,
R_6QpA6CZpkDQYKUp,,,,,,
R_31RydpiIzpu4bx3,,,,,,
R_sbNXk8yKUMtJL9f,,,,,,
R_1KoOJegsC4V5Erc,,,,,,
R_1Qu9wLpbQIgPCIE,,,,,,
R_3RgRnA5m20QD206,,,,,,
R_2dzK7Fs7FhQRvnC,,,,,,
R_3PoEnceNn7H1F4r,,,,,,
R_3Pq34Xv6lOHOcHq,UC San Diego,4836,,,,
R_1LpPGkRgkp4Ugut,Metropolitan community college,,,,,
R_RPTd8WbRemylBkZ,,,,,,
R_2CHzVrKnka1BGZx,,,,,,
R_sYw9vbnmU92PR0B,,,,,,
R_UDOm465cZ08pSr7,,,,,,
R_3QYtWbLTXqsURQp,,,,,,
R_2R7KxxfcmIFSQ2I,Southeastern Louisiana University,6656,,,,
R_3Eg8BkAqFT4zYzb,Waukesha County Technical College,724,,,,